Player,Pos,Team                     Currently With,Age                     At Signing,Start,End,Yrs,Value,AAV,Signing Bonus,2-Year Cash,3-Year Cash
Juan Soto,RF,NYM                  NYM,26,2025,2039,15,"$765,000,000.00","$51,000,000.00","$75,000,000.00","$169,150,000.00","$211,650,000.00"
Shohei Ohtani,DH,LAD                  LAD,29,2024,2033,10,"$700,000,000.00","$70,000,000.00",,"$4,000,000.00","$6,000,000.00"
Vladimir Guerrero Jr.,1B,TOR                  TOR,26,2026,2039,14,"$500,000,000.00","$35,714,286.00","$325,000,000.00","$61,000,000.00","$93,000,000.00"
Mike Trout,RF,LAA                  LAA,27,2019,2030,12,"$426,500,000.00","$35,541,667.00","$20,000,000.00","$49,433,333.00","$84,933,333.00"
Mookie Betts,RF,LAD                  LAD,28,2021,2032,12,"$365,000,000.00","$30,416,667.00","$65,000,000.00","$29,000,000.00","$46,000,000.00"
Aaron Judge,CF,NYY                  NYY,30,2023,2031,9,"$360,000,000.00","$40,000,000.00",,"$80,000,000.00","$120,000,000.00"
Manny Machado,3B,SD                  SD,30,2023,2033,11,"$350,000,000.00","$31,818,182.00","$45,000,000.00","$36,000,000.00","$49,000,000.00"
Francisco Lindor,SS,NYM                  NYM,28,2022,2031,10,"$341,000,000.00","$34,100,000.00","$21,000,000.00","$75,050,000.00","$102,125,000.00"
Fernando Tatis Jr.,SS,SD                  SD,21,2021,2034,14,"$340,000,000.00","$24,285,714.00","$10,000,000.00","$14,489,011.00","$20,106,295.00"
Bryce Harper,1B,PHI                  PHI,26,2019,2031,13,"$330,000,000.00","$25,384,615.00","$20,000,000.00","$39,629,629.00","$66,179,629.00"
Corey Seager,SS,TEX                  TEX,27,2022,2031,10,"$325,000,000.00","$32,500,000.00","$5,000,000.00","$72,500,000.00","$107,000,000.00"
Yoshinobu Yamamoto,SP,LAD                  LAD,25,2024,2035,12,"$325,000,000.00","$27,083,333.00","$50,000,000.00","$65,000,000.00","$77,000,000.00"
