Rk,Player,Age,Team,Lg,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Pos,Awards,Player-additional
1,Aaron Judge,33,NYY,AL,679,82,-1,-2,3,-8,74,7.6,22,96,9.7,0.550,0.546,9.4,-0.5,93,9D/H,ASMVP-1SS,judgeaa01
2,Cal Raleigh#,28,SEA,AL,705,50,-2,0,-4,6,50,5.2,23,73,7.4,0.532,0.531,7.7,0.2,77,*2D/H,ASMVP-2SS,raleica01
3,Bobby Witt Jr.,25,KCR,AL,687,27,6,2,3,9,47,4.9,23,70,7.1,0.531,0.530,6.7,1.3,67,*6/D,ASMVP-4GGSS,wittbo02
4,Geraldo Perdomo#,25,ARI,NL,720,33,3,0,3,10,48,4.8,23,72,7.0,0.530,0.530,6.8,1.3,68,*6/H,MVP-4SS,perdoge01
5,Julio Rodríguez,24,SEA,AL,710,26,2,1,9,5,43,4.6,23,66,6.8,0.528,0.528,5.8,1.5,57,*8/DH,ASMVP-6,rodriju01
6,Shohei Ohtani*,30,LAD,NL,727,62,0,1,0,-16,47,4.7,23,70,6.6,0.530,0.529,6.7,-1.7,70,*D1,ASMVP-1SS,ohtansh01
7,Nico Hoerner,28,CHC,NL,649,13,1,3,17,6,40,4.1,22,62,6.2,0.526,0.525,4.5,2.3,45,*4/6,MVP-19GG,hoernni01
8,Corey Seager*,31,TEX,AL,445,26,-2,-1,16,6,45,4.7,15,60,6.2,0.546,0.529,4.4,2.3,44,6/D,,seageco01
9,Juan Soto*,26,NYM,NL,715,51,2,0,-7,-5,41,4.1,23,64,6.2,0.526,0.525,7.0,-1.3,71,*9/D,MVP-3SS,sotoju01
10,Pete Crow-Armstrong*,23,CHC,NL,647,13,4,2,15,5,38,3.9,22,60,6.0,0.525,0.524,4.4,2.0,45,*8/HD,ASMVP-9GG,crowape01
11,Matt Olson*,31,ATL,NL,724,31,-1,-1,17,-8,38,3.9,23,61,6.0,0.524,0.524,4.3,1.0,44,*3,ASMVP-18GG,olsonma02
12,Francisco Lindor#,31,NYM,NL,732,24,4,0,-1,10,37,3.7,23,60,5.9,0.523,0.523,6.0,0.9,61,*6/DH,ASMVP-10,lindofr01
13,Fernando Tatis Jr.,26,SDP,NL,691,23,4,1,15,-5,38,3.8,22,60,5.9,0.525,0.524,4.4,1.0,45,*9/D,ASMVP-8GG,tatisfe02
14,Corbin Carroll*,24,ARI,NL,642,28,5,2,8,-4,38,3.9,21,59,5.8,0.527,0.524,5.0,0.4,51,*9/8DH,ASMVP-6SS,carroco02
15,Maikel Garcia,25,KCR,AL,666,18,2,-1,10,5,33,3.6,23,56,5.8,0.522,0.522,4.7,1.6,46,*564/8DH9,ASMVP-14GG,garcima01
16,José Ramírez#,32,CLE,AL,673,25,7,0,0,1,34,3.6,23,57,5.8,0.522,0.522,5.7,0.2,57,*5D,ASMVP-3SS,ramirjo01
17,Wyatt Langford,23,TEX,AL,573,19,2,0,16,-2,35,3.8,19,54,5.6,0.528,0.523,3.9,1.5,38,*78/H,,langfwy01
18,Jeremy Peña,27,HOU,AL,543,19,4,2,5,7,37,3.9,18,55,5.6,0.531,0.524,5.1,1.3,50,*6/HD,ASMVP-10,penaje02
19,Brice Turang*,25,MIL,NL,659,18,3,3,6,5,35,3.5,23,57,5.6,0.523,0.522,5.0,1.1,51,*4/H6,-MVP 14.00,turanbr02
20,Nick Kurtz*,22,ATH,AL,489,41,-1,0,2,-6,36,3.8,17,53,5.4,0.532,0.523,5.1,-0.4,51,*3/DH,MVP-12ROY-1SS,kurtzni01
21,Trea Turner,32,PHI,NL,639,18,6,0,2,8,35,3.5,20,56,5.4,0.525,0.522,5.3,1.1,53,*6/DH,-MVP 5.00,turnetr01
22,Gunnar Henderson*,24,BAL,AL,651,16,6,3,-3,8,30,3.2,22,52,5.3,0.520,0.519,5.6,0.6,55,*6/DH,,hendegu01
23,Cody Bellinger*,29,NYY,AL,656,17,1,2,11,-4,27,2.9,22,49,5.1,0.519,0.518,3.8,0.8,38,*798/3H,-MVP 14.00,bellico01
24,Zach Neto,24,LAA,AL,554,9,1,0,13,7,31,3.3,18,49,5.1,0.525,0.520,3.7,2.2,36,*6/H,,netoza01
25,Mookie Betts,32,LAD,NL,663,2,1,-1,17,9,28,2.9,22,50,4.9,0.519,0.518,3.2,2.6,33,*6/H9,,bettsmo01
26,Byron Buxton,31,MIN,AL,542,24,6,2,-5,3,30,3.1,18,48,4.9,0.524,0.519,5.4,-0.2,53,*8/D,ASMVP-11SS,buxtoby01
27,George Springer,35,TOR,AL,586,42,3,-2,-7,-9,28,2.9,20,48,4.8,0.520,0.518,5.5,-1.6,55,D978/H,MVP-7SS,springe01
28,Jarren Duran*,28,BOS,AL,696,14,2,1,9,-4,23,2.5,23,46,4.7,0.515,0.515,3.7,0.6,37,*78/H9D,,duranja01
29,Ceddanne Rafaela,24,BOS,AL,587,-5,3,1,21,5,25,2.7,20,45,4.7,0.517,0.516,2.4,2.8,24,*84/H,GG,rafaece01
30,Kyle Schwarber*,32,PHI,NL,724,41,1,1,-2,-16,24,2.5,23,48,4.7,0.515,0.515,4.9,-1.9,50,*D/7,ASMVP-2,schwaky01
31,Michael Busch*,27,CHC,NL,592,33,-3,1,2,-7,26,2.7,20,46,4.6,0.517,0.516,4.4,-0.5,44,*3H/D,-MVP 16.00,buschmi02
32,Vladimir Guerrero Jr.,26,TOR,AL,680,25,-2,-1,8,-9,22,2.4,23,45,4.6,0.515,0.514,3.7,0.0,37,*3D/H,ASMVP-13,guerrvl02
33,Kyle Tucker*,28,CHC,NL,597,30,3,0,-1,-5,27,2.7,20,47,4.6,0.520,0.517,4.7,-0.7,48,*9D/H,ASSS,tuckeky01
34,Will Smith,30,LAD,NL,436,26,-1,0,-2,7,31,3.1,15,45,4.5,0.528,0.519,4.7,0.5,47,2H/D,ASMVP-20,smithwi05
35,Dansby Swanson,31,CHC,NL,645,6,-1,2,7,9,24,2.4,22,46,4.5,0.515,0.515,3.8,1.7,39,*6,,swansda01
36,Junior Caminero,21,TBR,AL,653,26,0,-5,-5,4,21,2.2,22,43,4.4,0.514,0.513,4.9,-0.1,48,*5/DH3,ASMVP-9,caminju01
37,Ketel Marte#,31,ARI,NL,556,27,-3,-1,1,2,26,2.7,18,45,4.4,0.521,0.516,4.3,0.3,43,4D/H,ASMVP-22SS,marteke01
38,Ernie Clement,29,TOR,AL,588,-6,1,0,22,5,22,2.4,20,42,4.3,0.515,0.514,1.9,2.9,20,5463H,,clemeer01
39,Tyler Soderstrom*,23,ATH,AL,624,18,1,-1,9,-6,20,2.2,21,41,4.3,0.513,0.513,3.3,0.3,32,73H/D,,soderty01
40,Jazz Chisholm Jr.*,27,NYY,AL,531,16,3,1,-2,4,23,2.4,18,41,4.2,0.518,0.515,4.3,0.3,43,45/H,ASSS,chishja01
41,Matt Chapman,32,SFG,NL,535,14,2,0,5,3,24,2.4,18,42,4.1,0.519,0.515,3.6,0.9,37,*5,,chapmma01
42,Manny Machado,32,SDP,NL,678,12,2,-1,3,3,19,1.9,23,42,4.1,0.512,0.512,3.8,0.6,39,*5D,ASMVP-16SS,machama01
43,Rafael Devers*,28,2TM,2LG,729,32,-3,-1,2,-13,18,1.9,24,42,4.1,0.512,0.506,3.9,-1.1,40,*D3/5H,,deverra01
43,Rafael Devers*,28,BOS,AL,334,20,-1,-1,0,-6,12,1.3,11,22,2.3,0.517,0.508,2.3,-0.6,22,D,,deverra01
43,Rafael Devers*,28,SFG,NL,395,13,-2,0,2,-6,6,0.7,13,19,1.9,0.507,0.504,1.7,-0.5,17,D3/5H,,deverra01
44,Randy Arozarena,30,SEA,AL,709,19,3,1,-1,-5,17,1.8,23,40,4.0,0.511,0.511,4.1,-0.6,41,*7/D,AS,arozara01
45,Ian Happ#,30,CHC,NL,663,17,-2,0,9,-5,19,2.0,22,41,4.0,0.513,0.512,3.1,0.4,32,*7/DH,GG,happia01
46,William Contreras,27,MIL,NL,659,13,-1,-1,0,8,18,1.8,22,40,3.9,0.512,0.511,3.9,0.8,40,*2D/37,,contrwi02
47,Shea Langeliers,27,ATH,AL,523,19,0,-1,-4,7,20,2.1,18,38,3.9,0.517,0.513,4.2,0.3,42,2D/H,,langesh01
48,Harrison Bader,31,2TM,2LG,501,10,-1,1,13,-1,22,2.3,17,39,3.9,0.516,0.508,2.6,1.4,26,*87H/9,,baderha01
48,Harrison Bader,31,MIN,AL,307,5,0,1,12,-2,15,1.7,10,26,2.7,0.517,0.510,1.4,1.1,14,78H/9,,baderha01
48,Harrison Bader,31,PHI,NL,194,5,-1,0,1,1,7,0.7,7,13,1.3,0.513,0.504,1.2,0.2,12,8/H,,baderha01
49,J.P. Crawford*,30,SEA,AL,654,9,-1,0,-3,9,14,1.6,22,37,3.8,0.510,0.509,4.0,0.7,40,*6/H,,crawfjp01
50,Andy Pages,24,LAD,NL,624,11,-2,0,8,1,17,1.7,21,38,3.8,0.511,0.511,3.0,0.8,30,*897,,pagesan01
51,Trevor Story,32,BOS,AL,654,4,7,3,-7,9,15,1.7,22,38,3.8,0.510,0.510,4.5,0.3,45,*6/HD,,storytr01
52,Ramón Laureano,30,2TM,2LG,488,19,0,-1,7,-5,20,2.2,17,37,3.8,0.516,0.508,3.0,0.3,30,*798/DH,,laurera01
52,Ramón Laureano,30,BAL,AL,290,15,0,-1,8,-3,19,2.0,10,29,3.0,0.524,0.512,2.1,0.5,21,97/DH8,,laurera01
52,Ramón Laureano,30,SDP,NL,198,4,0,0,-1,-1,2,0.2,7,8,0.8,0.503,0.501,0.9,-0.2,9,78/9HD,,laurera01
53,Willy Adames,29,SFG,NL,686,8,-1,0,-2,9,16,1.6,23,39,3.7,0.510,0.510,4.0,0.7,41,*6/D,,adamewi01
54,Hunter Goodman,25,COL,NL,579,16,1,-2,-1,4,18,1.8,20,38,3.7,0.513,0.511,3.8,0.3,39,2D/H,ASSS,goodmhu01
55,Steven Kwan*,27,CLE,AL,693,-5,0,1,22,-5,14,1.5,23,36,3.7,0.509,0.509,1.3,1.9,14,*7/D8,ASGG,kwanst01
56,James Wood*,22,WSN,NL,689,25,-3,-1,1,-7,15,1.6,23,38,3.7,0.510,0.510,3.6,-0.6,37,*7D/H,AS,woodja03
57,Elly De La Cruz#,23,CIN,NL,699,3,5,1,-5,9,14,1.4,23,37,3.6,0.509,0.509,4.1,0.4,42,*6/DH,ASMVP-23,delacel01
58,Carson Kelly,30,CHC,NL,421,10,-1,-1,6,7,22,2.2,14,36,3.6,0.520,0.514,3.0,1.3,30,2/HD,,kellyca02
59,Max Muncy*,34,LAD,NL,388,16,1,0,3,3,23,2.3,13,36,3.6,0.523,0.514,3.3,0.6,33,5H,,muncyma01
